word,pos,meaning,level_id
fit,adj.,健壯的、健康的,1
fit,noun,一陣；（病）發作,2
five,number/pron./noun/adj.,五,1
fix,verb,修理,1
flag,noun,旗,1
flame,noun/verb,火焰；燃燒,2
flash,noun/verb,閃光、（想法）掠過,2
flashlight,noun,手電筒,1
flat,noun,公寓,1
flat,adj.,平坦的,1
flat tire,noun,沒氣的輪胎,1
flatter,verb,奉承,2
flavor,noun/verb,味道；調味,2
flea,noun,跳蚤,2
flee,verb,逃離,2
flesh,noun,肉,2
flexible,adj.,有彈性的,2
flight,noun,航程、班機,1
float,verb/noun,漂浮、飄動；浮板,2
flock,noun/verb,（羊或鳥）群、人群；聚集,2
flood,noun/verb,水災；淹水、氾濫,2
flooding,noun,水災,2
floor,noun,地板、樓層,1
flour,noun,麵粉,1
flow,noun/verb,流動,1
flower,noun,花,1
flu,noun,流行性感冒,1
fluent,adj.,流利的,2
flush,verb/noun,臉紅；沖馬桶,2
flute,noun,長笛,1
fly,verb,飛,1
fly,noun,蒼蠅,1
foam,noun/verb,泡沫；起泡沫,2
focus,noun/verb,焦點；聚焦,1
fog,noun,霧,1
foggy,adj.,多霧的,2
fold,verb/noun,摺疊；褶（痕）,2
folk,noun/adj.,人們；民俗的、民間的,2
follow,verb,跟隨、接著、遵循,1
follower,noun,追隨者,2
following,adj./prep./pron./noun,接著的、下列的；在…之後；下列事物；追隨者,1
fond,adj.,喜歡的,2
food,noun,食物,1
fool,noun/adj.,傻瓜；愚蠢的,1
fool,verb,愚弄、欺騙,1
foolish,adj.,愚蠢的,1
foot,noun,腳,1
football,noun,足球,1
for,prep.,為了、給、（時間、距離）達,1
for,conj.,因為,1
forbid,verb,禁止、阻止,2
force,noun,力量,1
force,verb,強迫,1
forecast,noun/verb,預報；預測,2
forehead,noun,額頭,2
foreign,adj.,外國的,1
foreigner,noun,外國人,1
foresee,verb,預見,2
forest,noun,森林,1
forever,adv.,永遠,2
forget,verb,忘記,1
forgetful,adj.,健忘的,2
forgive,verb,原諒,1
fork,noun,叉子,1
form,noun,表格、形狀,1
form,verb,組成,1
formal,adj.,正式的,1
formation,noun,組成,2
former,pron./adj.,前者；從前的,1
formula,noun,公式、方程式,2
fort,noun,要塞、堡壘,2
forth,adv.,向前,2
fortunate,adj.,幸運的,2
fortune,noun,運氣、命運；財富,2
forty,number/pron./noun/adj.,四十,1
forward,adv./adj.,向前；前面的,1
found,verb,創辦、建立,2
foundation,noun,創辦；基礎；基金會,2
founder,noun,創辦者、建立者,2
fountain,noun,噴泉、噴水池,2
four,number/pron./noun/adj.,四,1
fourteen,number/pron./noun/adj.,十四,1
fox,noun,狐狸,1
fragrance,noun,香味、香水,2
frame,verb/noun,裝框、構想；架構、框架,2
France,noun,法國,1
frank,adj.,坦白的,1
free,adj.,空閒、免費、自由的,1
free,verb,使自由,1
freedom,noun,自由,1
freeway,noun,高速公路,2
freeze,verb,結冰、冷凍；呆住、不動,2
freezer,noun,冰箱,1
freezing,adj.,極冷的、冰凍的,2
French fries,noun,炸薯條,1
frequency,noun,頻繁、頻率,2
frequent,adj./verb,頻繁的；常去（某處）,2
fresh,adj.,新鮮的,1
freshman,noun,（高中或大學）一年級新生,2
Friday,noun,星期五,1
fridge,noun,冰箱,2
friend,noun,朋友,1
friendly,adj.,友善的,1
friendship,noun,友誼,1
fright,noun,驚嚇、恐怖,2
frighten,verb,使驚恐,1
frisbee,noun,飛盤,1
frog,noun,青蛙,1
from,prep.,從,1
front,noun/adj.,前面；前面的,1
frost,noun/verb,霜、嚴寒；結霜,2
frosty,adj.,結霜的、嚴寒的,2
frown,verb/noun,皺眉、表示不滿；皺眉、不悅之色,2
frozen,adj.,冷凍的,2
fruit,noun,水果,1
frustrate,verb,挫敗、使灰心,2
fry,verb/noun,炒、炸；油炸物,1
fuel,noun/verb,燃料、提供燃料；刺激因素、刺激,2
fulfill,verb,實現、履行,2
full,adj.,滿的、充滿的,1
full-time,adj./adv.,全職的（地）、全日的（地）,2
fully,adv.,完全地、充分地,2
fun,noun/adj.,樂趣；有趣的,1
function,noun/verb,功用；發揮功用,1
functional,adj.,實用的、功能的,2
fund,noun/verb,資金、基金；資助,2
fundamental,adj.,根本的、基礎的,2
funeral,noun,葬禮,2
funny,adj.,有趣的、好笑的,1
fur,noun,毛（皮）,2
furious,adj.,盛怒的,2
furnish,verb,配備傢俱,2
furniture,noun,傢俱,1
further,adv./adj.,進一步地；進一步的,1
furthermore,adv.,而且、此外,2
future,noun/adj.,未來；未來的,1
